"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"23540","Gainesville, FL",".",".",".",".","0.07","0.059",".",".",".","16","6.5",".",".","."
"23580","Gainesville, GA",".",".",".",".",".",".",".",".",".","17","7.5",".",".","."
"23820","Gardnerville Ranchos, NV",".",".",".",".",".",".",".",".",".","16","4.7",".",".","."
"23900","Gettysburg, PA","0.4","0.4","15","2","0.07","0.066","2","1","0","21","8",".",".","."
"23940","Gillette, WY",".",".","10","1","0.08","0.069",".",".",".","22","5.1","141","31","."
"24060","Glenwood Springs, CO",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"24260","Grand Island, NE",".",".",".",".",".",".",".",".",".","19","6.6",".",".","."
"24300","Grand Junction, CO",".",".",".",".","0.08","0.067",".",".",".","14","4.9","50","15","."
"24340","Grand Rapids-Wyoming, MI","2.1","1.4","40","11","0.08","0.07","3","1","0","18","9.1","50","16","."
"24420","Grants Pass, OR",".",".",".",".",".",".",".",".",".","24","5.9",".",".","."
"24540","Greeley, CO","1.2","0.8",".","6","0.1","0.081",".",".",".","21","6.8",".",".","."
"24580","Green Bay, WI",".",".",".",".","0.07","0.067",".",".",".","18","6.1",".",".","."
"24640","Greenfield Town, MA",".",".",".",".","0.08","0.061",".",".",".",".",".",".",".","."
"24660","Greensboro-High Point, NC",".",".",".",".","0.08","0.067",".",".",".","16","7.5","29","12","."
"24780","Greenville, NC",".",".",".",".","0.06","0.059",".",".",".","15","5.7",".",".","."
"24860","Greenville-Anderson-Mauldin, SC",".",".","39","7","0.08","0.064","2","1","0","20","8.3","42","16","."
"25020","Guayama, PR",".",".",".",".",".",".",".",".",".",".",".","49","19","."
"25060","Gulfport-Biloxi-Pascagoula, MS",".",".","27","4","0.08","0.072","6","1","0","17","8",".",".","."
"25180","Hagerstown-Martinsburg, MD-WV",".",".",".",".","0.08","0.065",".",".",".","20","7.5",".",".","."
"25220","Hammond, LA",".",".",".",".",".",".",".",".",".","22","9",".",".","."
"25260","Hanford-Corcoran, CA",".",".","35","7","0.1","0.083",".",".",".","37","11.8","175","47","."
"25420","Harrisburg-Carlisle, PA",".",".",".",".","0.08","0.066",".",".",".","22","8.9","45","16","."
"25460","Harrison, AR",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
