"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"310M700US37620","Parkersburg-Vienna, WV Metro Area","33980","802","1162","261","3282","424","7123","651","6904","661","5996","558","2331","363","2955","367","411","162","524","164","1369","346","1301","324","622","185",
"310M700US37860","Pensacola-Ferry Pass-Brent, FL Metro Area","207663","3105","5600","645","18998","1502","25191","1451","36652","1781","30178","1483","14827","1278","30130","1717","6610","825","6834","751","17411","1193","9882","991","5350","672",
"310M700US37900","Peoria, IL Metro Area","149800","1791","6857","548","18682","1088","25751","1260","28016","1391","24167","1146","12778","830","16021","994","3727","437","2957","343","5688","533","2643","361","2513","359",
"310M700US37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","2495957","8531","59658","2403","190910","3400","275471","4146","341228","5075","343108","5434","182927","3807","380251","5383","96003","2784","126442","3367","257284","4515","175477","4084","67198","2537",
"310M700US38060","Phoenix-Mesa-Chandler, AZ Metro Area","1927852","9612","45841","2362","152500","3509","223902","4416","279457","4317","311921","5365","160454","4002","296012","4714","70516","2313","89190","2969","166768","3867","97028","2962","34263","1590",
"310M700US38240","Pinehurst-Southern Pines, NC Metro Area","39802","1013","1203","279","4083","589","5496","699","5744","633","4597","523","2612","485","5327","617","1571","325","1390","322","4464","571","2593","472","722","207",
"310M700US38300","Pittsburgh, PA Metro Area","978226","5232","31808","1490","93891","2115","124610","3084","144535","3140","140382","2882","74515","1957","134940","2920","39686","1336","43626","1671","82459","2060","48945","1544","18829","1116",
"310M700US38340","Pittsfield, MA Metro Area","53394","1422","2220","317","9090","771","11652","813","8416","750","6245","603","2488","343","4490","456","1452","266","1464","258","2788","457","2039","399","1050","264",
"310M700US38540","Pocatello, ID Metro Area","36585","893","1727","299","7499","580","10397","840","8019","751","2909","371","986","233","1523","247","250","100","312","92","986","213","1236","266","741","218",
"310M700US38660","Ponce, PR Metro Area","78033","1811","917","257","5881","643","13839","1071","14791","1089","13629","916","5303","647","9654","872","1899","445","2758","470","3917","604","2780","454","2665","464",
"310M700US38860","Portland-South Portland, ME Metro Area","239538","2654","8317","1032","25035","1642","35326","1486","35723","1561","34029","1391","16707","1197","30576","1390","9061","490","9925","744","19693","1168","10169","1207","4977","490",
"310M700US38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area","989113","6119","23758","1194","90557","2683","130062","3395","163387","3537","157552","3568","77651","2380","139170","2862","35097","1719","40561","1916","72152","2183","41910","1549","17256","1331",
"310M700US38940","Port St. Lucie, FL Metro Area","192456","3148","3774","672","10712","1446","23975","1458","26625","1697","29542","1638","10513","1060","34689","2233","5785","967","8814","1042","19163","1393","12323","1266","6541","829",
"310M700US39150","Prescott Valley-Prescott, AZ Metro Area","82338","1566","4141","583","12062","1077","13780","1198","11505","912","10813","1023","6160","769","11221","1092","1802","333","1441","303","3866","669","2430","495","3117","573",
"310M700US39300","Providence-Warwick, RI-MA Metro Area","731152","5330","19287","1340","65282","2257","103092","2712","115398","2839","108071","2217","46084","1733","95702","2810","24958","1544","28866","1543","57488","1869","45446","2085","21478","1293",
"310M700US39340","Provo-Orem-Lehi, UT Metro Area","283097","2467","10437","880","35893","1666","48659","1845","47981","1963","38281","1548","17532","959","31630","1480","9381","712","9338","720","18578","865","11100","836","4287","500",
"310M700US39380","Pueblo, CO Metro Area","65091","1320","1394","295","7169","644","13231","764","16425","1003","9115","647","2054","355","4893","546","1125","214","1465","298","4346","534","2537","373","1337","244",
"310M700US39460","Punta Gorda, FL Metro Area","60125","1924","1714","368","5046","624","8858","857","11046","1171","8422","876","3346","461","6505","648","1924","440","2306","456","5092","699","4046","686","1820","407",
"310M700US39540","Racine-Mount Pleasant, WI Metro Area","85836","1491","2808","473","11105","1034","12572","892","13034","850","10926","811","6379","601","10685","968","3848","571","4032","491","6414","650","2462","482","1571","310",
"310M700US39580","Raleigh-Cary, NC Metro Area","567322","5259","11635","1176","39476","1932","64599","2538","86867","2801","85395","2727","50746","2426","88350","3209","23141","1439","26537","1613","53223","2291","27920","1885","9433","1024",
"310M700US39660","Rapid City, SD Metro Area","69429","1356","3183","723","9411","1431","14369","2135","15295","1035","10380","835","4078","562","5181","679","989","271","1111","289","2302","437","1619","287","1511","420",
"310M700US39740","Reading, PA Metro Area","183509","2332","5354","629","17981","931","27767","1465","30535","1473","28097","1411","13246","932","19726","1234","6417","641","6953","662","13105","829","9811","756","4517","596",
"310M700US39820","Redding, CA Metro Area","67508","1374","2639","488","10723","701","15635","1033","13548","851","9763","893","3077","481","5698","747","651","185","725","204","1852","358","1523","291","1674","361",
"310M700US39900","Reno, NV Metro Area","243516","2701","6691","782","25561","1622","35879","1626","47052","2109","39798","1599","17580","1075","29996","1527","6288","545","7013","698","15236","1152","8185","883","4237","625",
"310M700US40060","Richmond, VA Metro Area","550249","4008","11536","936","42231","1618","67742","2132","89886","2846","95657","2653","50033","1762","86510","3054","22202","1201","18901","1519","36120","1579","17289","1002","12142","1057",
"310M700US40140","Riverside-San Bernardino-Ontario, CA Metro Area","1809184","8039","34686","1848","129999","3449","205766","3794","252510","4345","233817","4111","102823","3341","249351","4614","47666","1909","72458","2772","160314","3216","193281","4086","126513","3526",
"310M700US40220","Roanoke, VA Metro Area","125928","2061","3918","415","12626","999","19060","1226","25707","1486","22407","1150","8285","763","15611","1162","2642","360","2386","385","7459","791","4159","566","1668","333",
